K? n?ng m?m,??i s? tuy?n tính,Gi?i tích 1,Tin h?c ??i c??ng,V?t lý ?i?n t?,Gi?i tích 2,L?p trình nâng cao,Môn t? ch?n 1,Thi?t k? Web,Toán r?i r?c,C?u trúc d? li?u và gi?i thu?t,Ki?n trúc và t? ch?c máy tính,L?p trình h??ng ??i t??ng,Xác su?t th?ng kê,H? ?i?u hành,Công ngh? Java,C? s? d? li?u,Phân tích thi?t k? thu?t toán,X?p lo?i h?c t?p
C,B,B,B,B,B,D,B,A,B,B,C,A,B,B,B,B,A,Khá
B,D,D,B,C,C,B,C,C,C,D,D,B,B,D,C,C,B,Khá
D,C,A,D,C,B,A,B,D,D,D,D,B,C,C,B,C,C,Khá
A,B,C,A,B,A,A,B,A,B,A,D,B,A,A,B,A,A,Gi?i
C,D,D,C,C,B,D,B,B,D,C,D,D,C,A,B,B,B,Khá
B,B,A,C,B,A,A,B,C,C,A,B,A,B,B,A,A,A,Khá
C,A,A,A,A,A,A,B,B,B,C,B,A,A,B,B,B,C,Gi?i
C,D,D,D,B,A,C,A,C,D,C,C,B,B,B,A,A,A,Khá
C,A,B,C,A,B,C,B,D,C,C,B,D,C,A,A,B,A,Khá
B,A,C,A,A,A,A,A,C,B,A,B,A,B,A,A,A,A,Gi?i
C,B,D,B,C,C,B,B,C,D,B,D,C,C,A,B,A,A,Khá
B,D,C,A,A,B,C,B,A,D,C,C,A,A,B,B,C,B,Khá
C,B,C,C,A,D,B,B,C,D,D,C,D,B,C,B,D,A,Khá
B,A,B,B,A,A,B,A,D,B,B,C,C,C,B,B,B,A,Khá
C,C,C,A,A,C,A,B,B,C,C,D,A,C,C,B,B,B,Khá
C,B,B,B,B,A,A,A,C,C,B,B,B,B,A,A,A,A,Gi?i
B,B,C,B,A,A,A,A,A,C,A,A,A,B,A,A,B,A,Gi?i
B,C,A,C,A,A,B,B,B,C,C,B,B,B,B,B,B,C,Khá
C,D,C,D,C,D,C,C,C,D,D,D,D,C,D,A,D,C,Trung bình
C,D,D,C,D,C,C,B,C,D,C,D,A,D,D,B,C,A,Khá
D,B,C,A,C,A,A,B,B,B,A,C,A,B,A,B,B,A,Gi?i
B,A,C,D,A,B,B,B,B,A,B,C,A,B,A,A,B,A,Gi?i
A,B,B,B,B,B,A,C,A,A,A,B,A,B,C,A,C,A,Gi?i
A,B,C,B,A,B,C,B,C,B,C,B,B,B,A,A,C,A,Khá
B,A,C,B,A,C,A,A,A,A,B,A,A,A,A,B,A,A,Gi?i
B,D,C,D,B,D,C,A,D,B,B,D,D,B,C,B,B,B,Khá
B,D,A,A,B,A,C,C,B,B,C,D,B,C,C,B,C,B,Khá
