1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Decision
B,C,D,B,A,C,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,B,B,A,B,C,A,C,A,B,B,G
A,A,A,A,D,B,C,C,C,B,B,C,C,B,B,B,A,C,A,A,B,B,B,B,A,A,A,A,A,A,B,G
B,C,D,A,A,C,C,C,C,D,D,D,B,D,C,C,B,C,B,B,D,C,C,A,A,B,A,A,B,A,B,K
B,B,C,A,D,B,B,C,B,B,C,C,A,C,B,B,B,D,B,A,C,C,B,B,A,B,C,B,A,A,B,K
B,C,D,B,B,B,D,B,C,C,C,C,B,B,C,B,C,D,B,D,D,D,D,A,A,C,A,A,B,A,A,K
B,A,B,A,B,A,C,C,B,A,C,D,A,A,B,B,A,B,B,B,C,B,A,B,B,A,A,B,A,A,C,G
A,C,A,A,A,B,A,B,A,A,D,B,A,B,A,A,B,B,B,A,C,B,B,A,A,A,A,B,A,A,B,G
B,C,B,B,A,A,C,D,C,A,C,C,A,B,C,C,B,A,B,B,B,B,D,C,B,C,A,C,A,A,B,K
B,D,D,A,D,B,C,C,C,C,C,B,B,C,D,C,C,D,B,B,C,C,C,A,B,C,A,C,B,A,C,K
B,A,A,B,A,A,A,C,D,B,B,B,A,B,D,D,A,D,C,A,C,C,B,B,B,D,D,D,A,A,C,K
B,B,B,B,B,C,D,B,B,C,D,C,C,D,C,C,C,D,C,D,C,C,A,B,B,B,B,C,C,B,D,K
A,A,A,A,A,A,B,A,A,A,A,A,A,B,A,B,A,A,A,A,A,B,B,C,A,A,A,A,A,A,B,Xs
B,A,A,A,B,B,A,B,A,A,B,A,A,B,A,A,A,B,A,A,C,B,A,B,A,B,A,D,A,A,C,G
A,A,A,A,A,A,B,B,A,A,C,B,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,Xs
B,C,C,A,A,C,A,B,C,A,A,D,A,D,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,G
B,B,B,B,A,C,A,C,A,B,B,C,C,A,C,B,B,B,B,A,C,B,D,B,B,B,A,C,B,A,B,G
B,D,C,B,C,D,D,C,C,D,C,C,C,C,D,A,C,B,C,C,C,C,D,C,B,B,A,C,D,A,C,K
A,C,B,A,B,B,B,C,B,B,C,C,A,C,C,B,A,B,B,A,B,C,C,B,B,C,A,C,A,B,C,K
A,D,C,A,D,C,D,C,D,D,C,D,D,C,D,C,C,B,B,B,D,C,C,B,A,C,B,B,C,A,A,K
B,B,B,A,B,C,A,B,A,B,C,B,A,B,A,A,A,B,A,A,A,B,B,C,A,A,B,A,A,A,C,G
B,A,A,A,A,A,B,B,C,A,D,B,A,A,C,A,B,C,A,A,B,B,B,B,B,B,B,B,A,B,B,G
B,C,B,A,D,C,D,B,C,C,C,D,C,D,C,C,B,C,B,B,C,C,C,C,C,C,B,C,B,B,C,K
B,A,A,A,B,A,A,C,C,A,B,D,A,A,B,A,A,A,A,A,C,B,C,C,B,B,A,A,A,A,B,G
B,C,B,A,B,B,A,B,A,A,B,A,A,C,A,A,B,A,C,A,B,B,A,B,A,A,A,A,B,A,B,G
B,B,A,A,A,B,B,C,C,B,B,B,A,A,B,A,A,A,A,A,B,B,B,C,A,C,A,A,A,A,A,G
C,C,C,B,B,D,B,C,D,C,B,B,A,C,C,B,B,C,C,B,D,C,C,B,B,C,A,A,B,A,B,K
B,D,D,C,B,C,B,C,D,D,C,C,D,B,C,A,C,B,C,A,C,C,B,B,B,A,A,A,B,A,B,K
B,C,D,C,B,B,C,C,C,D,D,D,C,C,D,C,C,C,C,C,C,D,D,B,B,B,A,C,B,B,B,K
A,C,B,C,C,C,D,B,C,A,B,B,B,B,C,A,A,B,C,A,B,C,B,B,A,C,A,B,B,A,C,K
C,B,C,A,C,C,C,B,C,D,B,C,B,B,D,B,C,B,B,D,C,C,C,B,B,C,A,C,C,A,B,K
A,A,B,B,B,C,B,C,A,A,B,A,B,C,C,B,B,B,B,A,C,B,A,B,A,A,A,A,A,A,B,G
B,A,C,C,B,A,D,B,B,B,B,B,A,B,B,B,B,A,D,B,D,C,B,C,B,A,A,C,B,A,D,K
B,D,D,D,C,C,C,B,D,D,B,D,B,D,C,B,B,B,C,A,D,B,B,A,C,A,A,A,A,B,B,K
A,D,D,C,B,D,D,C,B,B,D,D,D,C,B,C,C,B,C,A,B,B,B,C,B,D,A,B,C,B,B,K
A,A,A,B,A,A,A,B,C,A,B,A,A,A,A,A,A,A,B,A,B,C,A,A,A,D,A,A,A,A,A,G
B,D,D,D,B,C,C,D,C,C,B,D,D,B,C,A,C,B,C,B,B,C,C,C,C,D,A,C,B,A,B,K
B,C,C,C,B,A,A,B,C,C,B,B,C,B,C,B,D,D,C,C,D,C,B,C,B,D,B,D,D,A,B,K
B,C,D,C,D,C,A,C,A,A,C,C,A,B,B,B,A,A,C,A,B,B,A,A,B,A,A,A,A,A,A,G
B,B,B,A,A,B,A,C,C,C,C,B,A,A,B,B,C,B,B,A,C,C,B,C,B,A,A,A,A,A,C,G
B,D,D,D,A,D,C,C,A,D,D,D,D,C,D,B,C,B,A,B,C,C,B,C,B,A,A,A,A,A,C,K
B,C,A,A,A,A,D,B,B,B,C,A,B,A,B,B,A,A,A,A,C,C,A,C,D,C,B,B,C,A,A,G
A,A,A,B,A,A,C,B,A,A,B,A,B,B,C,A,C,C,B,A,B,B,B,C,A,A,A,A,A,A,A,G
B,D,C,C,C,D,D,C,C,D,C,C,C,B,C,B,B,B,B,A,C,C,C,C,B,D,A,B,A,B,B,K
