mssv,HK 1,HK 1 dat,HK 1 hoc lai,HK 2,HK 2 dat,HK 2 hoc lai,HK 3,HK 3 dat,HK 3 hoc lai,HK 4,HK 4 dat,HK 4 hoc lai,HK 5,HK 5 dat,HK 5 hoc lai,HK 6,HK 6 dat,HK 6 hoc lai,HK 7,HK 7 dat,HK 7 hoc lai,HK 8,HK 8 dat,HK 8 hoc lai,xep_loai_hoc_tap
181213053,8.0,13,0,8.4,12,0,7.2,19,0,7.0,17,0,6.5,18,0,7.7,21,0,8.3,18,0,8.3,12,0,Khá
181201867,6.5,13,0,6.6,9,3,5.7,16,3,6.4,17,0,7.1,18,0,8.3,21,0,8.7,18,0,9.1,12,0,Khá
181210426,6.2,13,0,5.6,6,6,6.5,16,3,6.1,12,5,6.2,12,6,6.8,15,6,7.2,18,0,7.0,2,10,Trung binh
181203812,6.6,13,0,6.0,12,0,6.0,19,0,7.0,17,0,6.3,15,3,7.7,21,0,8.2,18,0,8.0,12,0,Khá
181210042,5.3,13,0,5.4,9,3,5.6,16,3,5.7,9,8,5.5,18,0,6.9,18,3,6.7,15,3,7.4,12,0,Trung binh
181200839,7.3,13,0,7.0,12,0,6.3,19,0,6.8,17,0,6.6,18,0,7.6,21,0,7.1,18,0,8.1,12,0,Khá
181200938,6.3,13,0,4.8,12,0,6.6,19,0,6.9,17,0,6.9,15,3,6.6,21,0,7.9,18,0,7.9,12,0,Khá
181202289,6.7,13,0,6.7,12,0,6.9,19,0,7.4,17,0,7.7,18,0,9.1,21,0,8.9,18,0,9.0,12,0,Khá
181202417,6.0,10,3,7.3,9,3,7.0,19,0,6.0,17,0,6.1,18,0,6.6,18,3,7.0,18,0,8.0,2,10,Khá
181210162,5.3,10,3,5.0,9,3,5.7,16,3,5.1,17,0,6.5,18,0,7.0,21,0,7.5,18,0,8.0,12,0,Trung binh
181203247,6.2,13,0,5.2,12,0,6.6,19,0,7.2,17,0,7.0,18,0,7.8,21,0,8.6,18,0,8.0,12,0,Khá
